business_type,target_demographic,target_location,campaign_budget_lkr,campaign_goal,listing_type,placement_name,channel_type,district,base_cost_lkr,primary_audience,estimated_reach,historical_ctr,historical_roi,historical_conversion_rate,previous_bookings,budget_gap_lkr,audience_match_score,location_match_score,channel_match_score,reach_to_cost_ratio,match_score
FMCG,35-44,Battaramulla,32281,Event Promotion,Event Sponsorship,Session Sponsor,Event,Colombo,86266,35-44,28968,0.0389,1.47,0.0623,45,-53985,0.8324,0.915,0.7691,0.335799,0.7473
Hospitality,45-54,Kollupitiya,389160,Brand Awareness,Digital Out-of-Home Screen,Airport Digital Display,Digital,Colombo,215115,45-54,181773,0.0316,0.88,0.0405,25,174045,0.8513,0.7715,0.8938,0.845004,0.7432
Retail,35-44,Katunayake,94537,Event Promotion,Print Publication Ad,Newspaper Full Page,Print,Gampaha,60314,35-44,52506,0.0177,0.86,0.072,56,34223,0.9853,0.5749,0.714,0.870544,0.4884
Technology,Young Professionals,Battaramulla,209537,Product Launch,Retail & Premises Signage,Storefront Display,Outdoor,Colombo,98808,Young Professionals,3860,0.0315,1.46,0.0604,47,110729,0.793,0.904,0.8011,0.039066,0.728
Fashion,Affluent,Gampaha Town,158083,Sales Conversion,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Gampaha,114426,Affluent,13290,0.0319,1.58,0.0711,35,43657,0.8992,0.7621,0.8002,0.116145,0.7316
Hospitality,18-24,Wellawatte,183555,Customer Retention,Cinema Advertising,Concession Ad,Cinema,Colombo,143725,18-24,114079,0.0191,0.66,0.0362,14,39830,0.8119,0.9418,0.6257,0.793731,0.5603
Fashion,35-44,Panadura,185321,App Downloads,Radio Spot,Prime Time Slot,Audio,Kalutara,40793,35-44,206947,0.0224,0.57,0.0581,26,144528,0.8591,0.5211,0.614,5.073101,0.635
Fashion,All Ages,Divulapitiya,49540,App Downloads,Cinema Advertising,Pre-show Ad,Cinema,Gampaha,138079,All Ages,47269,0.0227,0.69,0.052,9,-88539,1.0,0.646,0.6577,0.342333,0.4882
Real Estate,45-54,Battaramulla,235484,Customer Retention,Radio Spot,Prime Time Slot,Audio,Colombo,65946,45-54,172048,0.0215,0.45,0.0442,29,169538,1.0,0.747,0.8337,2.608922,0.7472
Real Estate,35-44,Bulathsinhala,100856,Brand Awareness,Web Display Inventory,Pop-up,Digital,Kalutara,39707,35-44,38169,0.0244,1.16,0.0605,14,61149,0.8483,0.5532,0.5239,0.961266,0.6521
Education,18-24,Gampaha Town,238573,Brand Awareness,Outdoor Static Structure,Transit Shelter,Digital,Gampaha,177230,18-24,62806,0.0227,0.4,0.0381,39,61343,1.0,0.6759,0.7213,0.354376,0.6461
Entertainment,25-34,Bambalapitiya,489190,Brand Awareness,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Colombo,166738,25-34,162402,0.0511,0.86,0.0631,5,322452,0.9972,0.7472,0.7892,0.973995,0.6265
Telecommunications,55+,Bambalapitiya,119222,Customer Retention,Print Publication Ad,Magazine Spread,Digital,Colombo,24810,55+,326638,0.0096,0.68,0.0531,21,94412,0.5383,0.8033,0.8122,13.165578,0.5671
Telecommunications,45-54,Maradana,113852,Sales Conversion,TV Spot,Daytime,Audio,Colombo,91475,45-54,402415,0.0209,0.68,0.0424,7,22377,0.9795,0.8274,0.7074,4.39918,0.8048
Food & Beverage,45-54,Kollupitiya,194911,Lead Generation,Cinema Advertising,Pre-show Ad,Cinema,Colombo,169018,45-54,39103,0.0212,0.88,0.0494,18,25893,1.0,0.7757,0.6866,0.231354,0.7266
Real Estate,45-54,Battaramulla,299002,Lead Generation,Outdoor Static Structure,Highway Billboard,Outdoor,Colombo,72823,45-54,21240,0.0144,1.05,0.0684,24,226179,0.8869,0.8295,0.7038,0.291666,0.8233
Travel & Tourism,35-44,Nugegoda,412103,Brand Awareness,Retail & Premises Signage,Storefront Display,Visual,Colombo,125097,35-44,32081,0.0324,1.55,0.0692,49,287006,0.7559,0.9293,0.7621,0.256449,0.6137
Healthcare,Affluent,Mount Lavinia,158995,Event Promotion,Outdoor Static Structure,Street Pole Banner,Digital,Colombo,86674,Affluent,13114,0.0292,1.35,0.071,35,72321,0.8089,0.7962,0.7965,0.151303,0.6894
Entertainment,45-54,Kadawatha,237496,Sales Conversion,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Gampaha,86162,45-54,58233,0.0324,1.46,0.05,32,151334,0.8412,0.6202,0.7069,0.675855,0.6218
Entertainment,Young Professionals,Wellawatte,108337,Website Traffic,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Colombo,211000,Young Professionals,89258,0.0454,1.44,0.0726,17,-102663,0.8816,0.933,0.7816,0.423024,0.5788
Telecommunications,18-24,Kollupitiya,145624,Event Promotion,Social Media Placement,Twitter/X Feed,Digital,Colombo,28836,18-24,183310,0.0271,0.32,0.0363,29,116788,0.9374,0.9606,0.7414,6.356984,0.7328
Healthcare,35-44,Beruwala,250252,Sales Conversion,TV Spot,Evening,Audio,Kalutara,324939,35-44,38104,0.0317,0.79,0.0616,3,-74687,0.8663,0.5857,0.525,0.117265,0.7493
E-commerce,55+,Wellawatte,131708,Website Traffic,Web Display Inventory,Interstitial Ad,Digital,Colombo,59255,55+,395622,0.0192,0.71,0.0303,61,72453,0.8734,0.8147,0.9206,6.676601,0.7774
Technology,18-24,Nugegoda,144101,Customer Retention,Print Publication Ad,Magazine Spread,Digital,Colombo,53195,18-24,262525,0.016,0.47,0.0339,11,90906,0.8739,0.9183,0.5331,4.935144,0.6649
Financial Services,Affluent,Bambalapitiya,145185,Customer Retention,Print Publication Ad,Magazine Full Page,Digital,Colombo,23866,Affluent,356555,0.0171,1.37,0.0611,16,121319,0.8668,0.9433,0.8953,14.939873,0.7074
Automotive,35-44,Negombo,61342,Event Promotion,Outdoor Static Structure,Building Wrap,Outdoor,Gampaha,69721,35-44,40351,0.0194,0.8,0.0707,5,-8379,1.0,0.7624,0.5613,0.57875,0.587
FMCG,35-44,Mahabage,143952,Website Traffic,Vehicle Wrap Media,Bus Wrap,Visual,Gampaha,135064,35-44,83342,0.0273,0.84,0.0743,4,8888,0.8103,0.7983,0.8404,0.617056,0.757
Travel & Tourism,25-34,Kalutara Town,123986,Website Traffic,Web Display Inventory,Banner Ad,Digital,Kalutara,25359,25-34,55095,0.0265,1.3,0.0396,28,98627,0.8968,0.4706,0.7728,2.172601,0.8238
Food & Beverage,25-34,Nugegoda,177035,Product Launch,Digital Out-of-Home Screen,Mall Digital Screen,Outdoor,Colombo,148567,25-34,124870,0.0478,1.25,0.0588,32,28468,1.0,0.8417,0.8142,0.840496,0.7312
Education,55+,Pettah,88153,App Downloads,Print Publication Ad,Magazine Full Page,Print,Colombo,33207,55+,68863,0.0064,0.51,0.0484,36,54946,0.827,0.9588,0.7291,2.07375,0.4554
Retail,35-44,Nugegoda,187334,Lead Generation,Radio Spot,Prime Time Slot,Audio,Colombo,21793,35-44,254650,0.0209,1.37,0.0554,26,165541,1.0,0.7354,0.8749,11.684945,0.8101
FMCG,55+,Mahabage,583349,Product Launch,Radio Spot,Evening Drive,Audio,Gampaha,64283,55+,190017,0.0119,0.93,0.0405,13,519066,0.7623,0.5894,0.728,2.955945,0.609
Real Estate,All Ages,Negombo,185464,Lead Generation,Event Sponsorship,Cocktail Sponsor,Event,Gampaha,197353,All Ages,6154,0.0421,0.8,0.0581,17,-11889,1.0,0.5982,0.7506,0.031183,0.7031
Luxury Goods,35-44,Bulathsinhala,239907,Customer Retention,Radio Spot,Weekend Slot,Audio,Kalutara,91147,35-44,59758,0.0208,0.74,0.0652,65,148760,0.9285,0.6997,0.9456,0.655622,0.7736
Telecommunications,35-44,Dehiwala,43842,Event Promotion,Retail & Premises Signage,End Cap Display,Visual,Colombo,99713,35-44,34928,0.0381,1.02,0.0612,39,-55871,1.0,0.7459,0.5298,0.350285,0.4986
Real Estate,All Ages,Mount Lavinia,134201,App Downloads,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,130264,All Ages,116080,0.0315,0.54,0.048,28,3937,0.9145,0.886,0.741,0.891113,0.6116
Luxury Goods,18-24,Bambalapitiya,398668,Product Launch,Cinema Advertising,Intermission Ad,Cinema,Colombo,155992,18-24,84234,0.0121,0.44,0.0321,19,242676,1.0,0.7933,0.644,0.539989,0.7376
Food & Beverage,Students,Maradana,136193,Lead Generation,Vehicle Wrap Media,Car Wrap,Outdoor,Colombo,54679,Students,88887,0.0252,0.34,0.0366,42,81514,1.0,0.7521,0.9108,1.625615,0.7171
Retail,18-24,Pettah,140721,Website Traffic,Digital Out-of-Home Screen,Digital Billboard,Digital,Colombo,265301,18-24,194562,0.0409,0.58,0.0277,66,-124580,0.763,0.7642,0.517,0.733363,0.4493
Healthcare,Young Professionals,Ja-Ela,203660,Sales Conversion,Outdoor Static Structure,Highway Billboard,Outdoor,Gampaha,119928,Young Professionals,36938,0.0294,0.89,0.0689,32,83732,0.9329,0.6771,0.6001,0.308001,0.5574
Entertainment,Young Professionals,Bulathsinhala,70914,Event Promotion,Social Media Placement,Twitter/X Feed,Digital,Kalutara,37332,Young Professionals,199682,0.0407,0.84,0.065,57,33582,0.8465,0.4841,0.7549,5.348816,0.701
Food & Beverage,18-24,Ingiriya,76395,Event Promotion,Digital Out-of-Home Screen,Digital Billboard,Outdoor,Kalutara,149728,18-24,55903,0.0316,0.65,0.0371,38,-73333,0.9409,0.4473,0.8209,0.373364,0.5747
Luxury Goods,25-34,Mahabage,446336,Brand Awareness,Print Publication Ad,Newspaper Full Page,Digital,Gampaha,41423,25-34,136680,0.0215,0.99,0.073,10,404913,0.9413,0.6289,0.5205,3.299616,0.6146
Automotive,All Ages,Dehiwala,61011,App Downloads,Retail & Premises Signage,Counter Display,Visual,Colombo,97042,All Ages,40938,0.0176,0.76,0.0561,48,-36031,0.9306,0.9858,0.8575,0.421859,0.6552
Real Estate,Students,Ja-Ela,588807,Product Launch,Print Publication Ad,Newspaper Half Page,Digital,Gampaha,18140,Students,89288,0.0183,0.12,0.0247,64,570667,0.9403,0.5604,0.8671,4.922161,0.6801
Healthcare,45-54,Dehiwala,98923,App Downloads,Print Publication Ad,Classified,Print,Colombo,11081,45-54,81972,0.0149,0.84,0.0587,28,87842,0.8312,0.9037,0.7534,7.397527,0.6182
Education,25-34,Gampaha Town,58624,App Downloads,Event Sponsorship,Presenting Sponsor,Event,Gampaha,266936,25-34,6629,0.0539,1.08,0.0704,19,-208312,0.9629,0.5625,0.8406,0.024834,0.5527
Financial Services,18-24,Pettah,184351,App Downloads,Outdoor Static Structure,Building Wrap,Outdoor,Colombo,70962,18-24,24469,0.0162,0.48,0.0304,45,113389,0.9094,0.908,0.9232,0.344818,0.8686
Telecommunications,45-54,Bambalapitiya,99860,Sales Conversion,Cinema Advertising,Concession Ad,Cinema,Colombo,172326,45-54,95767,0.0136,1.15,0.0571,17,-72466,1.0,0.7385,0.6193,0.555732,0.4987
Real Estate,45-54,Gampaha Town,121989,App Downloads,Social Media Placement,Twitter/X Feed,Digital,Gampaha,70290,45-54,329148,0.0283,1.04,0.0447,4,51699,0.9172,0.7486,0.7975,4.682714,0.6565
E-commerce,Families,Kollupitiya,285333,Lead Generation,Native / Sponsored Content,Featured Content,Digital,Colombo,36087,Families,93595,0.0261,1.2,0.0684,26,249246,0.9528,0.8384,0.7082,2.593593,0.7308
Healthcare,35-44,Wellawatte,168404,Brand Awareness,Newsletter Ad,Special Edition,Digital,Colombo,21235,35-44,110541,0.0318,1.15,0.0756,41,147169,1.0,0.9857,0.5112,5.205604,0.79
Fashion,55+,Bambalapitiya,159583,Sales Conversion,Retail & Premises Signage,Window Display,Visual,Colombo,58845,55+,20881,0.0205,1.01,0.0419,41,100738,0.731,0.96,0.6963,0.354847,0.7148
E-commerce,55+,Wattala,79472,Customer Retention,Outdoor Static Structure,Building Wrap,Outdoor,Gampaha,107233,55+,30943,0.0144,0.69,0.0415,30,-27761,0.8093,0.5889,0.638,0.288559,0.4824
Hospitality,45-54,Mount Lavinia,274248,Lead Generation,Print Publication Ad,Magazine Spread,Digital,Colombo,45465,45-54,363568,0.0135,1.02,0.0523,22,228783,1.0,0.8993,0.5588,7.996657,0.741
FMCG,18-24,Panadura,560685,Product Launch,Native / Sponsored Content,Review Sponsorship,Digital,Kalutara,43759,18-24,76790,0.0272,0.54,0.0311,21,516926,0.8454,0.6437,0.6816,1.754839,0.5346
Retail,25-34,Nugegoda,286577,Sales Conversion,Vehicle Wrap Media,Van Wrap,Outdoor,Colombo,90471,25-34,96115,0.0483,0.92,0.0546,20,196106,0.9119,0.7762,0.5626,1.062385,0.6332
Fashion,25-34,Dehiwala,76355,Event Promotion,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Colombo,161745,25-34,123136,0.0368,1.3,0.0707,34,-85390,0.7187,0.7133,0.8679,0.761297,0.6212
Travel & Tourism,25-34,Mahabage,207572,Customer Retention,Outdoor Static Structure,Building Wrap,Digital,Gampaha,155533,25-34,27825,0.0184,1.2,0.0665,23,52039,0.9305,0.5672,0.7615,0.178901,0.7426
Hospitality,18-24,Colombo Fort,64552,Customer Retention,Newsletter Ad,Promotional Email,Digital,Colombo,9989,18-24,80974,0.0432,0.37,0.0297,35,54563,0.737,0.9084,0.5358,8.106317,0.7333
Fashion,Affluent,Kadawatha,136653,Event Promotion,Radio Spot,Midday Slot,Audio,Gampaha,127498,Affluent,229602,0.0231,1.41,0.0801,8,9155,0.8646,0.8359,0.7849,1.800828,0.6268
Automotive,Young Professionals,Ingiriya,32124,Website Traffic,Web Display Inventory,Pop-up,Digital,Kalutara,52962,Young Professionals,177725,0.0303,0.68,0.0585,17,-20838,0.8385,0.5509,0.6514,3.355708,0.5519
Entertainment,25-34,Bulathsinhala,303238,Lead Generation,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Kalutara,173413,25-34,65940,0.0455,0.74,0.0534,56,129825,0.7402,0.5231,0.7595,0.380248,0.7572
Technology,35-44,Nugegoda,202222,Customer Retention,Digital Out-of-Home Screen,Airport Digital Display,Digital,Colombo,217102,35-44,246999,0.0316,1.03,0.051,26,-14880,0.7466,0.9639,0.6599,1.137709,0.6994
Financial Services,25-34,Horana,149232,Sales Conversion,Native / Sponsored Content,Review Sponsorship,Digital,Kalutara,25100,25-34,20425,0.0484,1.33,0.0694,11,124132,0.9199,0.576,0.9371,0.813745,0.8634
Food & Beverage,45-54,Bambalapitiya,120568,Customer Retention,Outdoor Static Structure,Street Pole Banner,Digital,Colombo,156524,45-54,26693,0.0199,1.18,0.0494,27,-35956,0.6781,0.9835,0.7467,0.170536,0.6741
E-commerce,25-34,Gampaha Town,171463,App Downloads,Native / Sponsored Content,Article Sponsorship,Digital,Gampaha,66916,25-34,46786,0.0404,0.81,0.0752,6,104547,0.8054,0.764,0.6242,0.699175,0.6535
Telecommunications,Families,Mount Lavinia,81948,Sales Conversion,Print Publication Ad,Newspaper Half Page,Print,Colombo,30027,Families,21591,0.005,0.77,0.0658,21,51921,0.8815,0.9589,0.7365,0.719053,0.6857
Hospitality,25-34,Mathugama,178744,Sales Conversion,Vehicle Wrap Media,Bus Wrap,Outdoor,Kalutara,103276,25-34,20278,0.0325,0.82,0.0767,16,75468,0.8905,0.6614,0.6075,0.196348,0.6041
Real Estate,18-24,Battaramulla,91419,App Downloads,Digital Out-of-Home Screen,Digital Billboard,Digital,Colombo,263030,18-24,41572,0.0248,0.64,0.0374,14,-171611,0.8674,0.8392,0.7025,0.15805,0.4409
Travel & Tourism,45-54,Pettah,518227,Product Launch,Outdoor Static Structure,Transit Shelter,Digital,Colombo,120405,45-54,125914,0.0171,0.67,0.0596,12,397822,0.8379,0.705,0.8667,1.045754,0.5245
Travel & Tourism,18-24,Kalutara Town,102984,Event Promotion,Vehicle Wrap Media,Truck Wrap,Outdoor,Kalutara,112536,18-24,39305,0.0196,0.56,0.0383,28,-9552,0.9269,0.5752,0.5095,0.349266,0.4633
Telecommunications,45-54,Battaramulla,111913,Customer Retention,Retail & Premises Signage,Storefront Display,Visual,Colombo,79393,45-54,8502,0.0217,0.69,0.0516,53,32520,0.9824,0.7294,0.7011,0.107088,0.6047
Fashion,25-34,Minuwangoda,141361,Website Traffic,Radio Spot,Midday Slot,Audio,Gampaha,31919,25-34,332823,0.0237,1.55,0.0501,78,109442,0.9691,0.6165,0.672,10.427112,0.6409
Fashion,35-44,Colombo Fort,162210,Customer Retention,Retail & Premises Signage,In-Store Digital,Visual,Colombo,130735,35-44,11264,0.0361,1.17,0.061,31,31475,0.9745,0.7793,0.5585,0.086159,0.7775
Healthcare,45-54,Divulapitiya,227144,Sales Conversion,Newsletter Ad,Industry Digest,Print,Gampaha,18897,45-54,16432,0.0275,0.97,0.0468,5,208247,0.8492,0.8003,0.8315,0.869556,0.6688
Education,55+,Mathugama,215042,Lead Generation,Newsletter Ad,Monthly Newsletter,Digital,Kalutara,33354,55+,39674,0.0237,0.95,0.0524,58,181688,0.8519,0.6194,0.934,1.189483,0.7398
Telecommunications,25-34,Mathugama,175487,Product Launch,Digital Out-of-Home Screen,Airport Digital Display,Digital,Kalutara,245803,25-34,66903,0.0271,1.25,0.0737,47,-70316,1.0,0.4719,0.7887,0.272181,0.7105
Hospitality,35-44,Bambalapitiya,170854,Brand Awareness,Retail & Premises Signage,In-Store Digital,Visual,Colombo,128400,35-44,49956,0.0324,1.17,0.0828,27,42454,0.9103,0.8675,0.8674,0.389065,0.8557
Luxury Goods,35-44,Ja-Ela,45711,Event Promotion,Retail & Premises Signage,Storefront Display,Outdoor,Gampaha,119537,35-44,4754,0.0246,0.83,0.0528,52,-73826,0.8879,0.6616,0.9496,0.03977,0.6656
E-commerce,18-24,Negombo,253594,Product Launch,Social Media Placement,TikTok Feed,Digital,Gampaha,99912,18-24,250656,0.0269,0.52,0.0333,34,153682,0.9087,0.6249,0.8565,2.508768,0.5864
E-commerce,45-54,Bandaragama,145896,Customer Retention,TV Spot,Sports Program,Audio,Kalutara,129192,45-54,355760,0.0289,0.66,0.0376,29,16704,1.0,0.554,0.8853,2.753731,0.5417
Retail,45-54,Battaramulla,80638,Event Promotion,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,166689,45-54,70555,0.027,0.74,0.0493,31,-86051,1.0,0.9454,0.8113,0.423273,0.5943
Fashion,All Ages,Ja-Ela,267976,Lead Generation,Native / Sponsored Content,Sponsored Video,Digital,Gampaha,65571,All Ages,133080,0.0348,0.89,0.0403,55,202405,0.9525,0.7881,0.6039,2.029556,0.7512
Luxury Goods,35-44,Gampaha Town,112328,Website Traffic,Outdoor Static Structure,City Center Billboard,Outdoor,Gampaha,127097,35-44,22537,0.0218,1.19,0.0518,40,-14769,0.8994,0.5954,0.7471,0.177321,0.698
Entertainment,Young Professionals,Kandana,44106,Website Traffic,Radio Spot,Morning Drive,Audio,Gampaha,95567,Young Professionals,191487,0.0266,1.07,0.0558,5,-51461,1.0,0.8072,0.545,2.003694,0.6893
Hospitality,Young Professionals,Wellawatte,89533,Sales Conversion,Outdoor Static Structure,City Center Billboard,Outdoor,Colombo,37995,Young Professionals,61688,0.0289,0.46,0.0696,34,51538,0.8206,0.7102,0.8082,1.623582,0.6246
Luxury Goods,Young Professionals,Bambalapitiya,40743,App Downloads,Social Media Placement,Instagram Story,Digital,Colombo,62372,Young Professionals,575729,0.033,1.09,0.0705,8,-21629,0.9415,0.9375,0.5519,9.230568,0.688
Travel & Tourism,35-44,Battaramulla,326787,Lead Generation,Retail & Premises Signage,Storefront Display,Visual,Colombo,125025,35-44,45417,0.028,1.43,0.043,11,201762,0.9431,0.9359,0.8386,0.363263,0.7683
Luxury Goods,55+,Mount Lavinia,163324,Sales Conversion,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Colombo,249133,55+,50328,0.0281,1.12,0.0422,46,-85809,1.0,0.8211,0.682,0.202013,0.5329
Retail,35-44,Kollupitiya,260413,Lead Generation,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,227169,35-44,66425,0.0201,1.29,0.0508,12,33244,0.9082,0.9293,0.7614,0.292403,0.7035
Food & Beverage,18-24,Nugegoda,182317,Product Launch,Native / Sponsored Content,Review Sponsorship,Digital,Colombo,60365,18-24,81614,0.0301,0.53,0.0288,14,121952,0.9572,0.8978,0.6831,1.352009,0.6395
Food & Beverage,Affluent,Mathugama,730936,Product Launch,Social Media Placement,LinkedIn Feed,Digital,Kalutara,87494,Affluent,76671,0.0356,1.38,0.0615,46,643442,0.8372,0.538,0.9383,0.8763,0.5627
Healthcare,35-44,Battaramulla,217565,Sales Conversion,Vehicle Wrap Media,Car Wrap,Visual,Colombo,125234,35-44,147796,0.0281,1.2,0.0557,7,92331,1.0,0.7303,0.7643,1.180159,0.8438
Luxury Goods,55+,Wellawatte,411495,Brand Awareness,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,131914,55+,91578,0.0265,0.43,0.0349,6,279581,0.8316,0.7462,0.6696,0.694225,0.5715
Telecommunications,35-44,Wellawatte,517229,Product Launch,Native / Sponsored Content,Featured Content,Digital,Colombo,65879,35-44,109279,0.0446,1.06,0.0585,22,451350,0.9462,0.7834,0.9006,1.658784,0.6055
Retail,35-44,Minuwangoda,121642,App Downloads,Outdoor Static Structure,Transit Shelter,Outdoor,Gampaha,74597,35-44,15716,0.0217,0.7,0.0708,34,47045,0.9725,0.7514,0.6191,0.210679,0.6598
Automotive,35-44,Ingiriya,196789,Lead Generation,Native / Sponsored Content,Featured Content,Digital,Kalutara,27675,35-44,14942,0.0368,0.67,0.0594,14,169114,0.9315,0.3329,0.7476,0.53991,0.6973
Automotive,45-54,Wellawatte,169744,Product Launch,Cinema Advertising,Tickets Ad,Cinema,Colombo,107113,45-54,106903,0.019,0.69,0.0451,32,62631,0.8335,0.8124,0.5035,0.998039,0.6348
Fashion,35-44,Mahabage,492690,Brand Awareness,Radio Spot,Weekend Slot,Audio,Gampaha,52662,35-44,55286,0.0292,0.9,0.0642,21,440028,0.9756,0.7932,0.9323,1.049827,0.7653
Food & Beverage,Students,Mount Lavinia,139770,Event Promotion,Web Display Inventory,Pop-up,Digital,Colombo,52689,Students,409096,0.0174,0.38,0.0231,42,87081,0.9295,0.9946,0.8159,7.764353,0.707
Healthcare,35-44,Mathugama,67401,Website Traffic,Newsletter Ad,Special Edition,Print,Kalutara,27747,35-44,20219,0.0283,0.83,0.0649,21,39654,1.0,0.4256,0.8079,0.728691,0.6156
Automotive,25-34,Bandaragama,146321,Website Traffic,Digital Out-of-Home Screen,Street Level Digital,Outdoor,Kalutara,138735,25-34,9684,0.0467,1.2,0.0492,10,7586,0.9907,0.4635,0.8118,0.069802,0.7343
Financial Services,Young Professionals,Battaramulla,286341,Sales Conversion,Digital Out-of-Home Screen,Street Level Digital,Outdoor,Colombo,219108,Young Professionals,26827,0.041,0.64,0.065,32,67233,0.7335,0.8611,0.5952,0.122437,0.6719
Hospitality,18-24,Battaramulla,85500,Event Promotion,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Colombo,287452,18-24,107075,0.0323,0.46,0.0324,18,-201952,0.948,0.9253,0.5288,0.372497,0.5517
FMCG,18-24,Wattala,159688,App Downloads,Radio Spot,Prime Time Slot,Audio,Gampaha,62523,18-24,287822,0.0159,0.57,0.0369,24,97165,0.9381,0.6336,0.7635,4.603458,0.6552
Hospitality,18-24,Nugegoda,51473,App Downloads,Newsletter Ad,Weekly Newsletter,Print,Colombo,16086,18-24,12397,0.0331,0.4,0.0297,12,35387,0.9453,0.9072,0.7459,0.77067,0.7341
Travel & Tourism,Young Professionals,Nugegoda,111484,Website Traffic,Radio Spot,Midday Slot,Audio,Colombo,77591,Young Professionals,420211,0.0263,0.87,0.0575,11,33893,0.7034,0.9938,0.6368,5.415718,0.5713
Automotive,All Ages,Gampaha Town,233585,Lead Generation,Newsletter Ad,Industry Digest,Print,Gampaha,20500,All Ages,12553,0.0424,0.64,0.053,13,213085,0.7514,0.6011,0.5775,0.612341,0.5267
Education,25-34,Mount Lavinia,134858,Lead Generation,TV Spot,Evening,Audio,Colombo,220539,25-34,287379,0.0286,1.16,0.0691,17,-85681,0.7046,0.7172,0.7047,1.303076,0.5249
Food & Beverage,45-54,Mahabage,98441,Website Traffic,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Gampaha,91309,45-54,75488,0.0239,0.69,0.0544,7,7132,1.0,0.794,0.863,0.826731,0.7013
Luxury Goods,35-44,Wattala,75974,App Downloads,Outdoor Static Structure,Street Pole Banner,Outdoor,Gampaha,60289,35-44,47053,0.0256,0.72,0.0605,26,15685,0.7007,0.8452,0.6914,0.780457,0.5428
Hospitality,All Ages,Dodangoda,186480,App Downloads,Social Media Placement,Twitter/X Feed,Digital,Kalutara,15409,All Ages,147259,0.0269,0.71,0.0461,19,171071,1.0,0.5647,0.8245,9.556688,0.5999
Healthcare,25-34,Pettah,239168,Customer Retention,Retail & Premises Signage,Counter Display,Outdoor,Colombo,37368,25-34,28538,0.0357,1.23,0.0646,14,201800,0.7742,0.8839,0.739,0.763702,0.798
Travel & Tourism,Families,Ja-Ela,148509,App Downloads,Event Sponsorship,Exhibition Booth,Event,Gampaha,499938,Families,10164,0.0448,0.49,0.0716,27,-351429,0.9591,0.5345,0.7573,0.020331,0.5001
FMCG,Families,Dehiwala,173132,Event Promotion,Outdoor Static Structure,Transit Shelter,Outdoor,Colombo,78686,Families,81015,0.0171,1.05,0.0602,20,94446,0.8089,0.7226,0.5142,1.029599,0.5497
Food & Beverage,35-44,Ja-Ela,99089,Website Traffic,Web Display Inventory,Video Ad,Digital,Gampaha,85673,35-44,144223,0.0323,0.81,0.062,32,13416,0.8852,0.5474,0.5701,1.683413,0.6016
Automotive,35-44,Ja-Ela,152904,Event Promotion,Native / Sponsored Content,Partner Post,Digital,Gampaha,48579,35-44,88008,0.0367,1.49,0.0594,6,104325,0.8772,0.7516,0.5969,1.811647,0.766
E-commerce,Students,Colombo Fort,159879,Event Promotion,Print Publication Ad,Newspaper Full Page,Print,Colombo,23217,Students,127745,0.013,0.43,0.0288,10,136662,0.7848,0.8204,0.8235,5.502218,0.6306
Travel & Tourism,Young Professionals,Negombo,119315,Customer Retention,Social Media Placement,TikTok Feed,Digital,Gampaha,22072,Young Professionals,228945,0.0383,1.1,0.0414,60,97243,0.9411,0.5527,0.8974,10.372644,0.6844
Hospitality,25-34,Kandana,177923,Customer Retention,Digital Out-of-Home Screen,Street Level Digital,Digital,Gampaha,115197,25-34,140873,0.0572,0.88,0.0704,9,62726,0.7482,0.7565,0.5489,1.222888,0.5864
E-commerce,25-34,Katunayake,269256,Sales Conversion,TV Spot,Prime Time,Audio,Gampaha,65809,25-34,219378,0.0402,1.43,0.0563,9,203447,0.8314,0.5292,0.8768,3.333556,0.6308
Healthcare,25-34,Mahabage,80210,Sales Conversion,Outdoor Static Structure,Highway Billboard,Outdoor,Gampaha,81273,25-34,14060,0.0293,0.83,0.0506,20,-1063,0.9478,0.8231,0.8366,0.172997,0.5667
Retail,45-54,Katunayake,318095,Brand Awareness,Native / Sponsored Content,Sponsored Video,Digital,Gampaha,88718,45-54,17877,0.0245,0.83,0.0485,9,229377,0.9959,0.6307,0.8936,0.201504,0.6644
Healthcare,45-54,Mount Lavinia,121400,Website Traffic,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,191410,45-54,62756,0.0401,0.62,0.0434,24,-70010,0.7042,0.7535,0.916,0.327862,0.526
Education,18-24,Nugegoda,140447,App Downloads,TV Spot,Sports Program,Audio,Colombo,220919,18-24,431774,0.0213,0.41,0.0305,39,-80472,0.9541,0.9857,0.8707,1.954445,0.805
